ColumnNumber,Differences
1,6.0
2,6.0
3,7.0
4,7.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
10,7.0
11,7.0
12,7.0
13,7.0
14,8.0
15,8.0
16,8.0
17,8.0
18,8.0
19,9.0
20,9.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,12.0
27,12.0
28,13.0
29,13.0
30,13.0
31,10.0
32,9.0
33,9.0
34,9.0
35,9.0
36,9.0
37,9.0
38,9.0
39,9.0
40,9.0
41,9.0
42,9.0
43,9.0
44,10.0
45,10.0
46,10.0
47,10.0
48,11.0
49,12.0
50,12.0
51,13.0
52,13.0
53,13.0
54,13.0
55,15.0
56,15.0
57,15.0
58,15.0
59,15.0
60,15.0
61,15.0
62,15.0
63,15.0
64,15.0
65,15.0
66,15.0
67,15.0
68,15.0
69,15.0
70,15.0
71,15.0
72,16.0
73,16.0
74,16.0
75,16.0
76,16.0
77,17.0
78,18.0
79,19.0
80,20.0
81,20.0
82,20.0
83,20.0
84,22.0
85,22.0
86,22.0
87,21.0
88,21.0
89,21.0
90,22.0
91,23.0
92,23.0
93,23.0
94,23.0
95,24.0
96,24.0
97,24.0
98,24.0
99,25.0
100,25.0
101,25.0
102,25.0
103,26.0
104,26.0
105,27.0
106,28.0
107,28.0
108,29.0
109,29.0
110,29.0
111,29.0
112,29.0
113,29.0
114,30.0
115,30.0
116,30.0
117,31.0
118,33.0
119,35.0
120,36.0
121,38.0
