#ColumnNumber,Differences
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,-0.0
6,-0.0
7,-0.0
8,-0.0
9,-0.0
10,-0.0
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,-0.0
17,-0.0
18,-0.0
19,-0.0
20,-0.0
21,-0.0
22,-0.0
23,-0.0
24,-0.0
25,-0.0
26,-0.0
27,-0.0
28,-0.0
29,-0.0
30,-0.0
31,-0.0
32,-0.0
33,-0.0
34,-0.0
35,-0.0
36,-0.0
37,-0.0
38,-0.0
39,-0.0
40,-0.0
41,-0.0
42,-0.0
43,-0.0
44,-0.0
45,-0.0
46,-0.0
47,-0.0
48,-0.0
49,-0.0
50,-0.0
51,-0.0
52,-0.0
53,-0.0
54,-0.0
55,-0.0
56,-0.0
57,-0.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,2.0
78,2.0
79,2.0
80,2.0
81,2.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,2.0
88,3.0
89,3.0
90,3.0
91,3.0
92,4.0
93,4.0
94,4.0
95,4.0
96,4.0
97,4.0
98,4.0
99,4.0
100,4.0
101,4.0
102,4.0
103,4.0
104,5.0
105,6.0
106,6.0
107,6.0
108,6.0
109,6.0
110,6.0
111,7.0
112,7.0
113,7.0
114,7.0
115,7.0
116,7.0
117,7.0
118,8.0
119,8.0
120,8.0
121,8.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,10.0
128,11.0
129,11.0
130,11.0
131,11.0
132,11.0
133,12.0
134,12.0
135,12.0
136,12.0
137,13.0
138,13.0
139,13.0
140,14.0
141,14.0
142,14.0
143,15.0
144,16.0
145,17.0
146,17.0
147,17.0
148,17.0
149,17.0
150,17.0
151,17.0
152,19.0
153,20.0
154,20.0
155,20.0
156,21.0
157,21.0
158,22.0
159,23.0
160,24.0
161,24.0
162,24.0
163,24.0
164,26.0
165,26.0
166,26.0
167,27.0
168,27.0
169,27.0
170,27.0
171,29.0
172,31.0
173,34.0
174,36.0
175,36.0
176,37.0
177,38.0
178,38.0
179,39.0
180,39.0
181,42.0
182,42.0
183,43.0
184,43.0
185,43.0
186,44.0
187,46.0
188,47.0
189,50.0
190,51.0
191,51.0
192,52.0
193,53.0
194,56.0
195,58.0
196,58.0
197,59.0
198,59.0
199,61.0
200,62.0
201,66.0
202,66.0
203,67.0
204,70.0
205,73.0
206,75.0
207,77.0
208,81.0
209,85.0
210,86.0
211,87.0
212,90.0
213,96.0
214,98.0
215,100.0
216,101.0
217,103.0
218,103.0
219,104.0
220,106.0
221,106.0
222,109.0
223,112.0
224,112.0
225,119.0
226,122.0
227,125.0
228,126.0
229,133.0
230,137.0
231,142.0
232,146.0
233,149.0
234,149.0
235,149.0
236,149.0
237,149.0
238,149.0
239,149.0
240,149.0
241,149.0
242,149.0
243,149.0
244,149.0
245,149.0
246,149.0
247,149.0
248,149.0
249,149.0
250,149.0
251,149.0
252,149.0
253,149.0
254,149.0
255,149.0
256,149.0
257,149.0
258,149.0
259,149.0
260,149.0
261,149.0
262,149.0
263,149.0
264,149.0
265,149.0
266,149.0
267,149.0
268,149.0
269,149.0
270,149.0
271,149.0
272,149.0
273,149.0
274,149.0
275,149.0
276,149.0
277,149.0
278,149.0
279,149.0
280,149.0
281,149.0
282,149.0
283,149.0
284,149.0
285,149.0
286,149.0
287,149.0
288,149.0
289,149.0
290,149.0
291,149.0
292,149.0
293,149.0
294,149.0
295,149.0
296,149.0
297,149.0
298,149.0
299,149.0
300,149.0
301,149.0
